"","month","day","year","missing_var","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1","lag"
"3866","12","06","2012","YWIND",0.199531197680884,2.07822385592573e-05,0.189625850340136,0.325525664811379,0.407312925170068,7
"3867","12","06","2012","YWIND",0.207169546319188,2.13918704150691e-05,0.199443413729128,0.341063698206555,0.40182436611008,14
"3868","12","06","2012","YWIND",0.208044226219985,2.21563457527719e-05,0.20021645021645,0.325834879406308,0.408317872603587,21
"3869","12","06","2012","YWIND",0.201594664961302,2.09829135562995e-05,0.187152133580705,0.331168831168831,0.413497217068646,28
"3870","12","06","2012","YWIND",0.201594664961302,2.09829135562995e-05,0.187152133580705,0.331168831168831,0.413497217068646,30
"3871","12","06","2012","SLA",0.203206500535544,2.11103450994332e-05,0.19534632034632,0.330163883735312,0.406076066790353,1
"3872","12","06","2012","SLA",0.173569868673441,1.97515082987728e-05,0.139842300556586,0.286487322201608,0.397495361781076,7
"3873","12","06","2012","SLA",0.172307862156976,1.95830356312027e-05,0.136440940012369,0.282158317872604,0.396954236239951,14
"3874","12","06","2012","SLA",0.170874964495538,1.94292881922135e-05,0.132730364873222,0.279143475572047,0.403756957328386,21
"3875","12","06","2012","SLA",0.168991269938759,1.93879160652289e-05,0.12917439703154,0.275355596784168,0.404839208410637,28
"3876","12","06","2012","SLA",0.170874336762424,1.96005954605644e-05,0.133735312306741,0.28099876314162,0.396181199752628,30
"3877","12","07","2012","SST",0.195884172279283,2.1366574997947e-05,0.184137291280148,0.316326530612245,0.396181199752628,1
"3878","12","07","2012","SST",0.201459278536183,2.13759691684024e-05,0.193027210884354,0.322820037105751,0.406926406926407,7
"3879","12","07","2012","SST",0.201459278536183,2.13759691684024e-05,0.193027210884354,0.322820037105751,0.406926406926407,14
"3880","12","07","2012","SST",0.207271910026051,2.0998029621328e-05,0.195269016697588,0.337816944959802,0.420454545454545,21
"3881","12","07","2012","SST",0.213026449798783,2.10379648977288e-05,0.20717377860235,0.347789115646259,0.421227581941868,28
"3882","12","07","2012","SST",0.217933321559298,2.11590923813269e-05,0.215831787260359,0.353741496598639,0.424397031539889,30
"3883","12","07","2012","CHLA",0.194921215023452,2.08747475440318e-05,0.178726035868893,0.314548546691404,0.406539888682746,1
"3884","12","07","2012","CHLA",0.177524500413007,2.07127443338743e-05,0.161873840445269,0.287801484230056,0.373685837971552,7
