"","month","day","year","t.minus","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1"
"29","08","02","2012",14,0.0797356153708142,1.04473144185556e-05,0.0125231910946197,0.104282622139765,0.293367346938776
"30","08","02","2012",30,0.0824325604906577,1.23620823512174e-05,0.023886827458256,0.113945578231293,0.273577612863327
"31","08","03","2012",1,0.0233356243060073,3.46796826385079e-06,7.73036487322202e-05,0.0015460729746444,0.0557359307359307
"32","08","03","2012",2,0.0299140270917601,4.37112202898446e-06,0.00015460729746444,0.00487012987012987,0.0907544836116265
"33","08","03","2012",3,0.0349538110123068,5.06356506110785e-06,0.000463821892393321,0.00981756338899196,0.117888064316636
"34","08","03","2012",4,0.0369469102563517,5.50655093705748e-06,0.00100494743351886,0.0146103896103896,0.125773036487322
"35","08","03","2012",5,0.0405414055150092,6.03594478534032e-06,0.00108225108225108,0.0194805194805195,0.144867037724181
"36","08","03","2012",6,0.0429239626356764,6.38207952411371e-06,0.00131416202844774,0.0244279529993816,0.154220779220779
"37","08","03","2012",7,0.0465763449712246,6.60232247837103e-06,0.00131416202844774,0.0299165120593692,0.173778602350031
"38","08","03","2012",8,0.0502944998806123,7.05279472464746e-06,0.0019325912183055,0.0365646258503401,0.193104514533086
"39","08","03","2012",14,0.0781965591097028,1.06761451465286e-05,0.0130643166357452,0.105828695114409,0.278756957328386
"40","08","03","2012",30,0.0826147836889847,1.24709139535271e-05,0.0248144712430427,0.116496598639456,0.271799628942486
"41","08","04","2012",1,0.017304175972998,2.6988369528366e-06,0,0.000850340136054422,0.0255102040816327
"42","08","04","2012",2,0.0261458257526602,4.09924135101993e-06,0.000463821892393321,0.00425170068027211,0.0674860853432282
"43","08","04","2012",3,0.0312460234486577,4.95212276197318e-06,0.000541125541125541,0.0095856524427953,0.0943877551020408
"44","08","04","2012",4,0.0351717023673304,5.40834559944427e-06,0.000850340136054422,0.0141465677179963,0.114409400123686
"45","08","04","2012",5,0.037941933275466,5.67030630429537e-06,0.000618429189857761,0.0158472479901051,0.129560915275201
"46","08","04","2012",6,0.0414191915725563,5.9005848594015e-06,0.000618429189857761,0.0186301793444651,0.150896722325294
"47","08","04","2012",7,0.0449855151057308,6.30809378758881e-06,0.000695732838589981,0.025278293135436,0.168212739641311
"48","08","04","2012",8,0.0465375444404993,6.93434290067632e-06,0.00162337662337662,0.0333178726035869,0.169063079777365
"49","08","04","2012",14,0.0720505427433732,1.01492853138064e-05,0.0116728509585652,0.0889764996907854,0.263373531230674
"50","08","04","2012",30,0.0814020673182776,1.20329438406424e-05,0.0211038961038961,0.110698824984539,0.274814471243043
"51","08","05","2012",1,0.0188971128509841,3.04037702468069e-06,7.73036487322202e-05,0.00146876932591218,0.0321583178726036
"52","08","05","2012",2,0.0279753325192091,4.38931759958404e-06,0.000309214594928881,0.00595238095238095,0.079004329004329
"53","08","05","2012",3,0.0325135193429438,4.92800939846986e-06,0.000386518243661101,0.0107452071737786,0.097247990105133
"54","08","05","2012",4,0.0355608768907707,5.19213480533607e-06,0.000695732838589981,0.0113636363636364,0.11873840445269
"55","08","05","2012",5,0.0397676588817158,5.54780284482128e-06,0.000618429189857761,0.014378478664193,0.146413110698825
"56","08","05","2012",6,0.0436419409870226,6.02675125593008e-06,0.000773036487322202,0.0213358070500928,0.165661719233148
"57","08","05","2012",7,0.0454784818976452,6.57248856413588e-06,0.00170068027210884,0.0276747062461348,0.165970933828077
"58","08","05","2012",8,0.0612659287244041,8.16152948637076e-06,0.00371057513914657,0.0605287569573284,0.239486703772418
"59","08","05","2012",14,0.0702128290640399,9.8697274466562e-06,0.0103586889301175,0.0827922077922078,0.257111935683364
"60","08","05","2012",30,0.0827691542910316,1.20976002390615e-05,0.0222634508348794,0.111008039579468,0.280921459492888
"61","08","06","2012",1,0.0211062881620909,3.3178412067329e-06,7.73036487322202e-05,0.0019325912183055,0.0422850958565244
"62","08","06","2012",2,0.0278980554740665,4.19380637774925e-06,0.00023191094619666,0.00564316635745207,0.0759121830550402
"63","08","06","2012",3,0.0316454659669035,4.6977966090537e-06,0.000309214594928881,0.00865800865800866,0.0946969696969697
"64","08","06","2012",4,0.0369088630635497,5.30896076694893e-06,0.000695732838589981,0.0132962275819419,0.12917439703154
"65","08","06","2012",5,0.0415778844926956,5.8790599511675e-06,0.000773036487322202,0.0190940012368584,0.154684601113173
"66","08","06","2012",6,0.0432602569021276,6.5069539956096e-06,0.00200989486703772,0.025974025974026,0.15530303030303
"67","08","06","2012",7,0.0597594278007133,8.20176286793667e-06,0.00371057513914657,0.0565089672232529,0.232993197278912
"68","08","06","2012",8,0.0616942100671364,8.3494135678148e-06,0.00432900432900433,0.0587507730364873,0.243661100803958
"69","08","06","2012",14,0.0699625001218187,1.00506799690724e-05,0.0111317254174397,0.0837198515769944,0.2569573283859
"70","08","06","2012",30,0.0831979188611136,1.22075087011062e-05,0.0232683982683983,0.113945578231293,0.280225726654298
"71","08","07","2012",1,0.019721456135038,2.76756888162948e-06,0,0.000618429189857761,0.035095856524428
"72","08","07","2012",2,0.0260719522715785,3.74774052860487e-06,0,0.00347866419294991,0.0679499072356215
"73","08","07","2012",3,0.032610782268133,4.64160730475191e-06,0.00023191094619666,0.00734384662956091,0.103123067408782
"74","08","07","2012",4,0.0386305954424789,5.54268968133221e-06,0.000850340136054422,0.0144557823129252,0.137213976499691
"75","08","07","2012",5,0.0403957808613314,6.26428644841858e-06,0.00177798392084106,0.0204081632653061,0.140460729746444
"76","08","07","2012",6,0.0574715279595658,8.06952473394922e-06,0.00332405689548547,0.0506338899196042,0.222789115646259
"77","08","07","2012",7,0.0602204485407486,8.33446703937639e-06,0.00409709338280767,0.0573593073593074,0.234230055658627
"78","08","07","2012",8,0.0643362915758207,8.60059579928731e-06,0.00525664811379097,0.0651669758812616,0.252164502164502
"79","08","07","2012",14,0.0657278735876855,9.56522439685879e-06,0.0091991341991342,0.0762213976499691,0.238945578231293
"80","08","07","2012",30,0.0812921512849101,1.2142169049708e-05,0.0219542362399505,0.112863327149041,0.268166357452072
"81","08","08","2012",1,0.0162668139147618,2.58415534537449e-06,0,0.000695732838589981,0.0211038961038961
"82","08","08","2012",2,0.0269035370195878,3.9792656947528e-06,7.73036487322202e-05,0.00463821892393321,0.0710420531849103
"83","08","08","2012",3,0.0341986258692462,5.0606264851416e-06,0.000309214594928881,0.0112863327149041,0.112399505256648
"84","08","08","2012",4,0.0370642023809435,5.89599627680204e-06,0.00131416202844774,0.0177025355596784,0.123995052566481
"85","08","08","2012",5,0.0545041090379609,7.73631626606276e-06,0.00239641311069883,0.0492424242424242,0.209647495361781
"86","08","08","2012",6,0.05740452022778,7.99484962230073e-06,0.00324675324675325,0.0525664811379097,0.220238095238095
"87","08","08","2012",7,0.0621369846268962,8.36689264684774e-06,0.00394248608534323,0.0611471861471861,0.245670995670996
"88","08","08","2012",8,0.0635177864605887,8.79793376015238e-06,0.00494743351886209,0.0690321583178726,0.24025974025974
"89","08","08","2012",14,0.0637102698702514,9.43916175086895e-06,0.0080395794681509,0.0723562152133581,0.229669140383426
"90","08","08","2012",30,0.0801330729449765,1.22561209519108e-05,0.0220315398886827,0.111471861471861,0.261363636363636
"91","08","09","2012",1,0.0212327263257207,2.98838188505291e-06,0,0.000927643784786642,0.0401978973407545
"92","08","09","2012",2,0.029980838975494,4.42869408001913e-06,0.000309214594928881,0.00610698824984539,0.0909863945578231
"93","08","09","2012",3,0.03394531917992,5.46023504518682e-06,0.000927643784786642,0.0133735312306741,0.112631416202845
"94","08","09","2012",4,0.0524931543138484,7.50319647330113e-06,0.00200989486703772,0.0456864564007421,0.197201607915894
"95","08","09","2012",5,0.0553747061471094,7.77766308707244e-06,0.00262832405689549,0.0476963512677798,0.215754483611626
"96","08","09","2012",6,0.0600768899111249,8.24836957800746e-06,0.00332405689548547,0.058982683982684,0.235930735930736
"97","08","09","2012",7,0.061624227893943,8.64762355779082e-06,0.00378787878787879,0.0649350649350649,0.233457019171305
"98","08","09","2012",8,0.0633606459122617,8.97327988705084e-06,0.00517934446505875,0.0702690166975881,0.236008039579468
"99","08","09","2012",14,0.0633211727934059,9.32354635614781e-06,0.0080395794681509,0.0732838589981447,0.227195423623995
"100","08","09","2012",30,0.0799470823735713,1.22647860157015e-05,0.0210265924551639,0.11247680890538,0.262677798392084
"101","08","10","2012",1,0.0207765151222515,3.17293320923948e-06,0,0.00162337662337662,0.0411255411255411
"102","08","10","2012",2,0.0287213971629632,4.52730129894103e-06,0.000927643784786642,0.00572047000618429,0.0820964749536178
"103","08","10","2012",3,0.0488637229096014,7.19948493594139e-06,0.00162337662337662,0.0383426097711812,0.18313234384663
"104","08","10","2012",4,0.052936261094241,7.47139446183911e-06,0.00224180581323438,0.0412028447742733,0.206555349412492
"105","08","10","2012",5,0.0576378992367784,8.01227386003024e-06,0.00286023500309215,0.0525664811379097,0.224644403215832
"106","08","10","2012",6,0.0603935019732825,8.49221868531882e-06,0.00363327149041435,0.0641620284477427,0.22735003092146
"107","08","10","2012",7,0.0625487644122468,8.93734490393297e-06,0.00541125541125541,0.0691094619666048,0.233457019171305
"108","08","10","2012",8,0.0621814533179724,9.16193117264409e-06,0.00703463203463203,0.0680272108843537,0.225649350649351
"109","08","10","2012",14,0.0667072919457211,9.91888244629613e-06,0.0099721706864564,0.0799319727891157,0.239100185528757
"110","08","10","2012",30,0.0812937027568444,1.22427559827031e-05,0.0238095238095238,0.111471861471861,0.268862090290662
"111","08","11","2012",1,0.0211612124634252,3.25802373564901e-06,0,0.00216450216450216,0.0413574520717378
"112","08","11","2012",2,0.0456191972249642,6.70683311452852e-06,0.000695732838589981,0.0327767470624614,0.17339208410637
"113","08","11","2012",3,0.0507189066437214,7.06542783912975e-06,0.0011595547309833,0.038265306122449,0.197124304267161
"114","08","11","2012",4,0.0552008481838818,7.57510994735211e-06,0.00170068027210884,0.0493970315398887,0.217145949288806
"115","08","11","2012",5,0.0579586278618729,8.17316399221595e-06,0.00324675324675325,0.0597557204700062,0.21969696969697
"116","08","11","2012",6,0.0618586713602067,8.80631151489411e-06,0.00494743351886209,0.0670995670995671,0.231833642547928
"117","08","11","2012",7,0.0614466866900905,8.99831417298604e-06,0.00610698824984539,0.0680272108843537,0.224180581323438
"118","08","11","2012",8,0.0606368731428113,8.83468541899968e-06,0.00572047000618429,0.0658627087198516,0.223794063079777
"119","08","11","2012",14,0.0665599992540028,9.94065862670985e-06,0.00904452690166976,0.0799319727891157,0.234616573902288
"120","08","11","2012",30,0.0820607950682836,1.23057532173618e-05,0.0245052566481138,0.11525974025974,0.269325912183055
"121","08","12","2012",1,0.0401628045191539,6.04021537787e-06,0,0.0239641311069883,0.145408163265306
"122","08","12","2012",2,0.0466938442933973,6.58161016738313e-06,0.000386518243661101,0.0320037105751391,0.179421768707483
"123","08","12","2012",3,0.0520818944252981,7.08603179853242e-06,0.000927643784786642,0.04073902288188,0.20578231292517
"124","08","12","2012",4,0.054844036106693,7.7581053316199e-06,0.00239641311069883,0.0507111935683364,0.206555349412492
"125","08","12","2012",5,0.0602373863001698,8.57168755231369e-06,0.00440630797773655,0.0644712430426716,0.223098330241187
"126","08","12","2012",6,0.0595866406307037,8.74445836757192e-06,0.00487012987012987,0.0641620284477427,0.216372912801484
"127","08","12","2012",7,0.0592074897066802,8.56591971446608e-06,0.00456091527520099,0.0619975262832406,0.222789115646259
